id;job_title
1;3D Computer Vision Researcher
2;AI Scientist
3;Analytics Engineer
4;Applied Data Scientist
5;Applied Machine Learning Scientist
6;BI Data Analyst
7;Big Data Architect
8;Big Data Engineer
9;Business Data Analyst
10;Cloud Data Engineer
11;Computer Vision Engineer
12;Computer Vision Software Engineer
13;Data Analyst
14;Data Analytics Engineer
15;Data Analytics Lead
16;Data Analytics Manager
17;Data Architect
18;Data Engineer
19;Data Engineering Manager
20;Data Science Consultant
21;Data Science Engineer
22;Data Science Manager
23;Data Scientist
24;Data Specialist
25;Director of Data Engineering
26;Director of Data Science
27;ETL Developer
28;Finance
29;Data Analyst
30;Head of Data
31;Head of Data Science
32;Head of Machine Learning
33;Lead Data Analyst
34;Lead Data Engineer
35;Lead Data Scientist
36;Lead Machine Learning Engineer
37;Machine Learning Developer
38;Machine Learning Engineer
39;Machine Learning Infrastructure Engineer
40;Machine Learning Manager
41;Machine Learning Scientist
42;Marketing Data Analyst
43;ML Engineer
44;NLP Engineer
45;Principal Data Analyst
46;Principal Data Engineer
47;Principal Data Scientist
48;Product Data Analyst
49;Research Scientist
50;Staff Data Scientist
